orgID,summaryYM,SAARType_2017,location,orgloc,numDaysPresent,locCDC,summaryYR,summaryYH,summaryYQ,CCN,OID,facType,medAff,numBeds,countyName,state,vaStationCode,createDate,createUserID,modifiedDate,modifyUserID,surveyyear_join,medType,numAdmits,numICUBeds,numPatDays,los,pctICUBeds,numAUDaysPredicted,antiMicrobialDays,DOTgtDP,locSAAR
12556,2020M11,Adult_All-Antibacterial_2017,4SD,12556-4SD,945,IN:ACUTE:WARD:M,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,549.019,520,0,0.947
12556,2020M11,Adult_All-Antibacterial_2017,SD10ICU,12556-SD10ICU,223,IN:ACUTE:CC:MS,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,195.185,230,0,1.178
12556,2020M11,Adult_All-Antibacterial_2017,SD11,12556-SD11,1529,IN:ACUTE:STEP,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,882.968,858,0,0.972
12556,2020M11,Adult_All-Antibacterial_2017,SD5,12556-SD5,1299,IN:ACUTE:WARD:S,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,759.236,1037,0,1.366
12556,2020M11,Adult_All-Antibacterial_2017,SD6,12556-SD6,810,IN:ACUTE:WARD:M,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,470.588,468,0,0.995
12556,2020M11,Adult_All-Antibacterial_2017,SD7,12556-SD7,1273,IN:ACUTE:WARD:S,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,744.039,1039,0,1.396
12556,2020M11,Adult_All-Antibacterial_2017,SD8,12556-SD8,1325,IN:ACUTE:WARD:M,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,769.790,770,0,1
12556,2020M11,Adult_All-Antibacterial_2017,SDMICU,12556-SDMICU,317,IN:ACUTE:CC:M,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,295.759,386,0,1.305
12556,2020M11,Adult_All-Antibacterial_2017,SDSICU,12556-SDSICU,449,IN:ACUTE:CC:S,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,403.699,414,0,1.026
12556,2020M11,Adult_Antifungal_ICU_2017,SD10ICU,12556-SD10ICU,223,IN:ACUTE:CC:MS,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,9.262,37,,3.995
12556,2020M11,Adult_Antifungal_ICU_2017,SDMICU,12556-SDMICU,317,IN:ACUTE:CC:M,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,13.167,30,,2.278
12556,2020M11,Adult_Antifungal_ICU_2017,SDSICU,12556-SDSICU,449,IN:ACUTE:CC:S,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,26.868,30,,1.117
12556,2020M11,Adult_Antifungal_Step_2017,SD11,12556-SD11,1529,IN:ACUTE:STEP,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,30.428,48,,1.577
12556,2020M11,Adult_Antifungal_Ward_2017,4SD,12556-4SD,945,IN:ACUTE:WARD:M,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,15.970,25,,1.565
12556,2020M11,Adult_Antifungal_Ward_2017,SD5,12556-SD5,1299,IN:ACUTE:WARD:S,2020,2020H2,2020Q4,050077,2.16.840.1.114222.4.1.6761,HOSP-GEN,Y,356,SAN DIEGO,CA,N/A,2020-12-09,72800,2020-12-09,72800,2020,M,22891,32,104210,4.5,8.9,21.952,26,,1.184
