ABC #,ABC 6,Product Description,NDC,Account #,Account Name,Contract Abbrev Name,Customer PO #,Invoice #,Invoice Date,Order Qty,Shipped Qty,Non-Merchandise,Tax Amount,Invoice Ext Amt,Total Ext Cost,Invoice Price
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,APEN,G_03312022omB_3,3088304184,4/1/2022,1,1,0,0,100.1,100.1,100.1
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,APEN,G_06222022omB_3,3097106462,6/23/2022,1,1,0,0,109.11,109.11,109.11
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,INDV,G_01262023omB,3121248006,1/27/2023,1,1,0,0,94.23,94.23,94.23
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,INDV,G_02232024omSaturday,3165809536,2/24/2024,1,1,0,0,94.23,94.23,94.23
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,INDV,G_07012022om_4,3098129746,7/2/2022,1,1,0,0,109.1,109.1,109.1
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,INDV,G_09122022omB,3105786264,9/13/2022,1,1,0,0,109.1,109.1,109.1
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,INDV,G_09162022om,3106343024,9/17/2022,1,1,0,0,109.1,109.1,109.1
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,INDV,G_11032023omSaturday,3153011507,11/4/2023,2,2,0,0,188.46,188.46,94.23
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,INDV,G_11062022omB_3,3115158614,12/7/2022,1,1,0,0,109.1,109.1,109.1
10000134,2079,POT CHL 20MEQ NACL 0.45% SOL 14X1000 ML,338070434,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,INDV,G_12012023omSaturday,3156191082,12/2/2023,1,1,0,0,94.23,94.23,94.23
10000144,2147,TIMOLOL 0.5% OPH DRP 10 ML,61314022710,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,02052024_WB_3,3163670598,2/6/2024,1,1,0,0,6.42,6.42,6.42
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,G_09142022omF,3109446072,10/17/2022,5,4,0,0,35.68,35.68,8.92
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,G_09142022omF,3110210691,10/24/2022,5,1,0,0,8.92,8.92,8.92
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,G_08212023omF,3144271299,8/22/2023,4,4,0,0,18.76,18.76,4.69
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,G_09132023omF,3146935381,9/14/2023,3,3,0,0,14.07,14.07,4.69
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,G_11242023omSunday,3155393827,11/27/2023,6,6,0,0,28.14,28.14,4.69
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,G_12182023omF,3158154978,12/19/2023,6,6,0,0,28.14,28.14,4.69
10000217,2873,TIMOLOL 0.5% O/S 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,wantbook221226,3117476888,12/27/2022,14,14,0,0,65.8,65.8,4.7
10000217,2873,TIMOLOL 0.5% OPH DRP 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,G_07132022omF,3099295143,7/14/2022,6,6,0,0,53.52,53.52,8.92
10000217,2873,TIMOLOL 0.5% OPH DRP 5 ML,61314022705,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,G_08012022omF,3101263403,8/2/2022,5,5,0,0,44.6,44.6,8.92
10000262,3184,GNP CALAMINE PLAIN LIQ 6 OZ,24385041396,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,G_09162022om,3106343023,9/17/2022,3,3,0,0,5.91,5.91,1.97
10000297,3426,RISPERIDONE 1 MG-ML SOL 30 ML,54006344,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,06012023_wantbook_3,3135474598,6/5/2023,2,2,0,0,26.14,26.14,13.07
10000297,3426,RISPERIDONE 1 MG-ML SOL 30 ML,54006344,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,08232023_wantbook_3,3144556198,8/24/2023,3,2,0,0,26.14,26.14,13.07
10000297,3426,RISPERIDONE 1 MG-ML SOL 30 ML,54006344,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,G_10242022omB_3,3110320593,10/25/2022,1,1,0,0,15.07,15.07,15.07
10000297,3426,RISPERIDONE 1 MG-ML SOL 30 ML,54006344,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,G_12292022omP_4,3117965401,12/30/2022,1,0,0,0,0,0,0
10000297,3426,RISPERIDONE 1 MG/ML SOL 30 ML,54006344,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,061322dsb3,3096050022,6/14/2022,2,2,0,0,30.14,30.14,15.07
10000312,3509,TIMOLOL 0.5% O/S 5 ML,60758080105,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,07212023_wantbook_3,3140806338,7/22/2023,1,1,0,0,5.07,5.07,5.07
10000314,3517,TIMOLOL 0.5% OPH DRP 10 ML,60758080110,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,G_11102023omSat_3,3153849260,11/11/2023,1,1,0,0,7.42,7.42,7.42
10000344,3780,ELMIRON 100 MG CAP 100,50458009801,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,G_03122024omP,3167872794,3/13/2024,1,1,0,0,1045.02,1045.02,1045.02
10000344,3780,ELMIRON 100 MG CAP 100,50458009801,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,,G_04032023omP_3,3128818025,4/4/2023,1,1,0,0,1010.23,1010.23,1010.23
10000394,4275,LABETALOL HCL 20 MG-4 ML CJ LL 10X4 ML,409233934,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,04222024_wantbook_3,3172487883,4/23/2024,30,30,0,0,2209.2,2209.2,73.64
10000394,4275,LABETALOL HCL 20 MG-4 ML CJ LL 10X4 ML,409233934,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,08162023_Wantbook_2,3143753965,8/17/2023,20,20,0,0,1450.4,1450.4,72.52
10000394,4275,LABETALOL HCL 20 MG-4 ML CJ LL 10X4 ML,409233934,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,09122023_omB_4,3146806796,9/13/2023,17,17,0,0,1232.84,1232.84,72.52
10000394,4275,LABETALOL HCL 20 MG-4 ML CJ LL 10X4 ML,409233934,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,12192023_OR_2,3158307409,12/20/2023,1,1,0,0,72.52,72.52,72.52
10000394,4275,LABETALOL HCL 20 MG-4 ML CJ LL 10X4 ML,409233934,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,12192023_wantbook_3,3158333930,12/20/2023,20,20,0,0,1450.4,1450.4,72.52
10000394,4275,LABETALOL HCL 20 MG-4 ML CJ LL 10X4 ML,409233934,100096377,SCRIPPS MERCY HSP SAN DIEGO WAC,AGPP,12220222_wantomnicel,3117241692,12/23/2022,15,15,0,0,915.9,915.9,61.06
